father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
マインドユアビスケッツ,0.2048780487804878,0.17868334845486716,0.18333333333333332,0.2149321266968326
マクフィ,0.2051009564293305,0.18382239727296246,0.2328767123287671,0.19375
マクマホン,0.1,0.04107586172111183,0.11627906976744186,0.14285714285714285
マジェスティックウォリアー,0.2138047138047138,0.1945239933217064,0.15104166666666666,0.22210849539406347
マスクゾロ,0.12903225806451613,0.046854826914600675,0.2,0.14285714285714285
マツリダゴッホ,0.126,0.10249042752145769,0.12040133779264214,0.13333333333333333
マンハッタンカフェ,0.19444444444444445,0.13544357729921733,0.21818181818181817,0.18181818181818182
マーベラスサンデー,0.16666666666666666,0.033319217684229845,0.2222222222222222,0.16666666666666666
ミキノバンジョー,0.06896551724137931,0.012841461997051407,0.08695652173913043,0.15384615384615385
ミッキーアイル,0.23773584905660378,0.21652288729541505,0.24266144814090018,0.23626373626373626
ミッキーグローリー,0.13157894736842105,0.05479283699366177,0.09375,0.3076923076923077
ミッキーロケット,0.19111111111111112,0.14969837936011618,0.2138364779874214,0.1506849315068493
ミュゼスルタン,0.12962962962962962,0.06366375200674232,0.2,0.12195121951219512
ミリオンディスク,0.2222222222222222,0.046389263979611135,0.2222222222222222,0.2222222222222222
メイショウサムソン,0.2037037037037037,0.16801889054766617,0.18181818181818182,0.1875
メイショウボーラー,0.12095400340715502,0.09959161269247055,0.05755395683453238,0.1471264367816092
メジロダイボサツ,0.2,0.0752938165688757,0.25,0.21052631578947367
モンテロッソ,0.14461538461538462,0.1138597281888824,0.1743119266055046,0.12195121951219512
モーニン,0.20270270270270271,0.13113943942089729,0.19047619047619047,0.21666666666666667
モーリス,0.25127966496044674,0.23602515214290537,0.2694406548431105,0.21396054628224584
ヤマカツエース,0.1761006289308176,0.12897564239936518,0.17582417582417584,0.18666666666666668
ヤマニンセラフィム,0.3333333333333333,0.17731091757444914,0.25,0.35
ヤングマンパワー,0.5,0.31082956947824036,0.46153846153846156,0.4166666666666667
ユアーズトゥルーリ,0.10526315789473684,0.020110675876131676,0.25,0.1111111111111111
ヨハネスブルグ,0.06422018348623854,0.030812058393508646,0.07142857142857142,0.08333333333333333
ラニ,0.22188449848024316,0.18523991900656564,0.04878048780487805,0.2508591065292096
ラブイズブーシェ,0.16666666666666666,0.033319217684229845,0.2,0.2222222222222222
ラブリーデイ,0.20203488372093023,0.1773738530873675,0.21587301587301588,0.17746478873239438
リアルインパクト,0.19318181818181818,0.16922809245346132,0.2120253164556962,0.17708333333333334
リアルスティール,0.32474964234620884,0.2959217986455124,0.3116591928251121,0.34615384615384615
リオンディーズ,0.22687373396353816,0.20919051682094436,0.2356687898089172,0.21669106881405564
リッチーリッチー,0.36363636363636365,0.15002824080667998,0.25,0.4
リヤンドファミユ,0.3235294117647059,0.23386648221243272,0.5,0.25
リーチザクラウン,0.1458966565349544,0.11519813757257691,0.14,0.16
ルックスザットキル,0.2,0.041023167506996534,0.25,0.2222222222222222
ルーラーシップ,0.2130019120458891,0.19996052883516274,0.22036363636363637,0.20103537532355478
レイデオロ,0.2905405405405405,0.2309890375773105,0.2727272727272727,0.35294117647058826
レインボーライン,0.09375,0.04229356482593714,0.075,0.13793103448275862
レオアクティブ,0.3076923076923077,0.12285066324360105,0.3076923076923077,0.3076923076923077
レガーロ,0.42857142857142855,0.22395539421131921,0.25,0.46153846153846156
レッドスパーダ,0.20833333333333334,0.14410220431115775,0.24390243902439024,0.09523809523809523
レッドファルクス,0.17091836734693877,0.14066331398101328,0.155,0.1919191919191919
レーヴミストラル,0.125,0.07933004565922691,0.08695652173913043,0.16049382716049382
ロゴタイプ,0.16837782340862423,0.14130725559585106,0.1568627450980392,0.18340611353711792
ロジャーバローズ,0.2898550724637681,0.20419251521204393,0.32608695652173914,0.23333333333333334
ロジユニヴァース,0.17647058823529413,0.11847047306981913,0.15384615384615385,0.2028985507246377
ローエングリン,0.17142857142857143,0.12691751076466523,0.04878048780487805,0.29473684210526313
