jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
1185,304,2197,0.13883847549909256,0.04278561675011379,2197,0.1269151580767323
1186,378,1986,0.19066733567486202,0.05387713997985901,1986,0.1763755366328164
1187,305,2011,0.15213082259663033,0.05469915464942814,2011,0.13918213220600517
1188,380,2501,0.15231259968102073,0.04438224710115954,2501,0.1406725291667872
1189,36,244,0.15139442231075698,0.020491803278688523,244,0.11589231261413999
1190,141,843,0.16823529411764707,0.060498220640569395,843,0.14759460701057903
1191,212,1403,0.15177304964539007,0.04775481111903065,1403,0.13634663720001342
1192,225,1582,0.14285714285714285,0.05120101137800253,1582,0.12868194838282654
1193,254,1284,0.19829589465530598,0.06386292834890965,1284,0.1803188524075231
1194,15,283,0.05862068965517241,0.01060070671378092,283,0.03782403608203641
1195,56,566,0.1012216404886562,0.028268551236749116,566,0.08133282730260484
1196,110,278,0.3929824561403509,0.14028776978417265,278,0.3458978940480718
1197,447,1831,0.2442872687704026,0.08410704533042053,1831,0.22796605336845288
1198,11,283,0.04482758620689655,0.0035335689045936395,283,0.026809407791786914
1199,298,1593,0.1875,0.05649717514124294,1593,0.17167930816650934
1200,192,1122,0.17183348095659876,0.062388591800356503,1122,0.15371011084172503
1201,33,533,0.06481481481481481,0.0225140712945591,533,0.04836588050997142
1202,82,664,0.12518628912071536,0.0286144578313253,664,0.10484048202159425
1203,24,349,0.07303370786516854,0.02005730659025788,349,0.051823119914701524
1204,77,706,0.11079943899018233,0.028328611898016998,706,0.09211639895329295
1205,115,944,0.12302839116719243,0.03919491525423729,944,0.10597871335408714
1206,92,559,0.16607773851590105,0.0518783542039356,559,0.1410559428474217
1207,19,374,0.05511811023622047,0.0106951871657754,374,0.03732638880499046
1208,251,1384,0.18188353702372395,0.054190751445086706,1384,0.1651403342277251
1209,15,240,0.06882591093117409,0.016666666666666666,240,0.04450777174783272
1210,18,198,0.0975609756097561,0.020202020202020204,198,0.06592283454681465
1211,10,41,0.25,0.04878048780487805,41,0.15442824825735682
1212,47,321,0.14939024390243902,0.059190031152647975,321,0.11831889690160746
1213,94,456,0.20734341252699784,0.10526315789473684,456,0.17711774421827245
1214,68,460,0.14989293361884368,0.041304347826086954,460,0.12362701812803924
1215,12,115,0.11475409836065574,0.008695652173913044,115,0.07132147686042807
1216,106,568,0.18782608695652173,0.058098591549295774,568,0.16168645646424298
5053,0,9,0.125,0.0,9,0.024225732468536623
5073,0,3,0.2,0.0,3,0.041023167506996534
5089,0,17,0.08333333333333333,0.0,17,0.015674071195156656
5091,15,74,0.20987654320987653,0.04054054054054054,74,0.1401593297742921
5098,0,1,0.25,0.0,1,0.05337550047023718
5099,0,3,0.2,0.0,3,0.041023167506996534
5115,245,876,0.2797281993204983,0.091324200913242,876,0.25518084392305407
5135,45,133,0.3357142857142857,0.10526315789473684,133,0.2716321596733941
5161,1,16,0.13043478260869565,0.0,16,0.03822351100641794
5171,4,77,0.07142857142857142,0.0,77,0.03194836206027599
5199,2,46,0.07547169811320754,0.021739130434782608,46,0.026701302212388537
5203,1935,6688,0.28932038834951457,0.09061004784688995,6688,0.28024143572677346
5212,2426,5955,0.4072458906407246,0.16171284634760705,5955,0.39679797003673756
5217,1,42,0.061224489795918366,0.0,42,0.017250332840106155
5229,5,81,0.07954545454545454,0.0,81,0.03837099426099398
5230,0,16,0.08695652173913043,0.0,16,0.01639751631348414
5243,720,3954,0.1822772027265842,0.05842185128983308,3954,0.17228025793341764
5248,0,2,0.2222222222222222,0.0,2,0.046389263979611135
5268,34,461,0.07692307692307693,0.019522776572668113,461,0.05776074174572652
5269,0,3,0.2,0.0,3,0.041023167506996534
5271,48,100,0.4672897196261682,0.19,100,0.38862106924862666
5286,8,65,0.1388888888888889,0.0,65,0.07845068605460145
5299,15,93,0.17,0.053763440860215055,93,0.11246917584915156
5306,0,3,0.2,0.0,3,0.041023167506996534
5309,0,3,0.2,0.0,3,0.041023167506996534
5321,31,183,0.1736842105263158,0.03825136612021858,183,0.13061948044340968
5328,1,32,0.07692307692307693,0.0,32,0.021863700719675805
5329,0,1,0.25,0.0,1,0.05337550047023718
5336,139,559,0.24911660777385158,0.08765652951699464,559,0.219749588656747
5339,3752,6996,0.5360559760102813,0.2471412235563179,6996,0.526248533075745
5342,26,148,0.18064516129032257,0.060810810810810814,148,0.13241202892583614
5352,0,1,0.25,0.0,1,0.05337550047023718
5364,1,9,0.1875,0.1111111111111111,9,0.05684686759024681
5366,214,474,0.4490644490644491,0.19831223628691982,474,0.41191412168842106
5370,0,5,0.16666666666666666,0.0,5,0.033319217684229845
